path;content_type;name;size;is_thumbnail;product_id
http://res.cloudinary.com/dgjrkjkch/image/upload/v1733120148/products/fny5zpnn3uldc9zetpfh.jpg;image/jpg;products/fny5zpnn3uldc9zetpfh;6768;true;6
http://res.cloudinary.com/dgjrkjkch/image/upload/v1733120150/products/pabnxk8qhuc6bbptuqri.jpg;image/jpg;products/pabnxk8qhuc6bbptuqri;6151;true;8
http://res.cloudinary.com/dgjrkjkch/image/upload/v1733120152/products/zsir9x3fpjd9dowp3y5l.jpg;image/jpg;products/zsir9x3fpjd9dowp3y5l;4471;true;7
http://res.cloudinary.com/dgjrkjkch/image/upload/v1733120154/products/tp6xsxqalehz0hqvpywd.jpg;image/jpg;products/tp6xsxqalehz0hqvpywd;5894;true;1
http://res.cloudinary.com/dgjrkjkch/image/upload/v1733120156/products/hfaxkizjh6jhwmvge66j.jpg;image/jpg;products/hfaxkizjh6jhwmvge66j;13131;true;5
http://res.cloudinary.com/dgjrkjkch/image/upload/v1733120157/products/ixioveqrqjtuyrfhg0cj.jpg;image/jpg;products/ixioveqrqjtuyrfhg0cj;7116;true;2
http://res.cloudinary.com/dgjrkjkch/image/upload/v1733120159/products/klppezhhsaqs7tsqldgf.jpg;image/jpg;products/klppezhhsaqs7tsqldgf;5413;true;9
http://res.cloudinary.com/dgjrkjkch/image/upload/v1733120160/products/tsywtqnn3wfejhkijp3g.jpg;image/jpg;products/tsywtqnn3wfejhkijp3g;5146;true;3
http://res.cloudinary.com/dgjrkjkch/image/upload/v1733120162/products/e6tlq8mjsstms6x15gmd.jpg;image/jpg;products/e6tlq8mjsstms6x15gmd;5204;true;4
http://res.cloudinary.com/dgjrkjkch/image/upload/v1733120163/products/wsbzfsronbgp9hk3oolf.jpg;image/jpg;products/wsbzfsronbgp9hk3oolf;5550;true;10
